year,state,rate,deaths,statename,fips,ur,emppop,y15,y16,y17,y18,y19,y20,y21,y22
2014,"AL",15.2,723,"Alabama",1,6.7,53.4,0,0,0,0,0,0,0,0
2015,"AL",15.7,736,"Alabama",1,6.1,53.2,1,0,0,0,0,0,0,0
2016,"AL",16.2,756,"Alabama",1,5.9,53.2,0,1,0,0,0,0,0,0
2017,"AL",18,835,"Alabama",1,4.5,54.1,0,0,1,0,0,0,0,0
2018,"AL",16.6,775,"Alabama",1,3.9,55,0,0,0,1,0,0,0,0
2019,"AL",16.3,768,"Alabama",1,3.2,55.9,0,0,0,0,1,0,0,0
2020,"AL",22.3,1029,"Alabama",1,6.4,53.6,0,0,0,0,0,1,0,0
2021,"AL",30.1,1408,"Alabama",1,3.4,54.7,0,0,0,0,0,0,1,0
2022,"AL",31.5,1492,"Alabama",1,2.5,55.5,0,0,0,0,0,0,0,1
2014,"AK",16.8,124,"Alaska",2,6.7,62.9,0,0,0,0,0,0,0,0
2015,"AK",16,122,"Alaska",2,6.3,62.6,1,0,0,0,0,0,0,0
2016,"AK",16.8,128,"Alaska",2,6.6,61.9,0,1,0,0,0,0,0,0
2017,"AK",20.2,147,"Alaska",2,6.5,61.7,0,0,1,0,0,0,0,0
2018,"AK",14.6,110,"Alaska",2,6,61.2,0,0,0,1,0,0,0,0
2019,"AK",17.8,132,"Alaska",2,5.6,61,0,0,0,0,1,0,0,0
2020,"AK",22,160,"Alaska",2,8.3,58.4,0,0,0,0,0,1,0,0
2021,"AK",35.6,260,"Alaska",2,6.4,60.3,0,0,0,0,0,0,1,0
2022,"AK",34.3,254,"Alaska",2,4.2,62,0,0,0,0,0,0,0,1
2014,"AZ",12.6,356,"Arizona",4,6.8,56.1,0,0,0,0,0,0,0,0
2015,"AZ",19,1274,"Arizona",4,6.1,56.7,1,0,0,0,0,0,0,0
2016,"AZ",20.3,1382,"Arizona",4,5.5,57.1,0,1,0,0,0,0,0,0
2017,"AZ",22.2,1532,"Arizona",4,5,57.7,0,0,1,0,0,0,0,0
2018,"AZ",23.8,1670,"Arizona",4,4.8,58.3,0,0,0,1,0,0,0,0
2019,"AZ",26.8,1907,"Arizona",4,4.8,59,0,0,0,0,1,0,0,0
2020,"AZ",35.8,2550,"Arizona",4,7.8,56.6,0,0,0,0,0,1,0,0
2021,"AZ",38.7,2730,"Arizona",4,5.1,58.1,0,0,0,0,0,0,1,0
2022,"AZ",37.2,2664,"Arizona",4,3.8,59.1,0,0,0,0,0,0,0,1
2014,"AR",18.2,1211,"Arkansas",5,5.9,54.6,0,0,0,0,0,0,0,0
2015,"AR",13.8,392,"Arkansas",5,5,55.4,1,0,0,0,0,0,0,0
2016,"AR",14,401,"Arkansas",5,4,55.8,0,1,0,0,0,0,0,0
2017,"AR",15.5,446,"Arkansas",5,3.7,56.1,0,0,1,0,0,0,0,0
2018,"AR",15.7,444,"Arkansas",5,3.7,55.8,0,0,0,1,0,0,0,0
2019,"AR",13.5,388,"Arkansas",5,3.5,56,0,0,0,0,1,0,0,0
2020,"AR",19.1,546,"Arkansas",5,6.2,53.8,0,0,0,0,0,1,0,0
2021,"AR",22.3,637,"Arkansas",5,4,54.3,0,0,0,0,0,0,1,0
2022,"AR",21.7,617,"Arkansas",5,3.2,55.5,0,0,0,0,0,0,0,1
2014,"CA",11.1,4521,"California",6,7.6,57.6,0,0,0,0,0,0,0,0
2015,"CA",11.3,4659,"California",6,6.3,58.3,1,0,0,0,0,0,0,0
2016,"CA",11.2,4654,"California",6,5.5,58.8,0,1,0,0,0,0,0,0
2017,"CA",11.7,4868,"California",6,4.8,59.3,0,0,1,0,0,0,0,0
2018,"CA",12.8,5348,"California",6,4.2,59.7,0,0,0,1,0,0,0,0
2019,"CA",15,6198,"California",6,4.1,59.9,0,0,0,0,1,0,0,0
2020,"CA",21.8,8908,"California",6,10.1,54.7,0,0,0,0,0,1,0,0
2021,"CA",26.6,10901,"California",6,7.3,56.6,0,0,0,0,0,0,1,0
2022,"CA",26.9,10952,"California",6,4.3,59.1,0,0,0,0,0,0,0,1
2014,"CO",16.3,899,"Colorado",8,5,64.2,0,0,0,0,0,0,0,0
2015,"CO",15.4,869,"Colorado",8,3.7,64.2,1,0,0,0,0,0,0,0
2016,"CO",16.6,942,"Colorado",8,3.1,64.9,0,1,0,0,0,0,0,0
2017,"CO",17.6,1015,"Colorado",8,2.6,65.9,0,0,1,0,0,0,0,0
2018,"CO",16.8,995,"Colorado",8,3,66.5,0,0,0,1,0,0,0,0
2019,"CO",18,1079,"Colorado",8,2.7,66.9,0,0,0,0,1,0,0,0
2020,"CO",24.9,1492,"Colorado",8,6.8,62.7,0,0,0,0,0,1,0,0
2021,"CO",31.4,1887,"Colorado",8,5.5,64.4,0,0,0,0,0,0,1,0
2022,"CO",29.8,1811,"Colorado",8,3.1,66.1,0,0,0,0,0,0,0,1
2014,"CT",17.6,623,"Connecticut",9,6.6,61.5,0,0,0,0,0,0,0,0
2015,"CT",22.1,800,"Connecticut",9,5.6,62.2,1,0,0,0,0,0,0,0
2016,"CT",27.4,971,"Connecticut",9,4.8,62.7,0,1,0,0,0,0,0,0
2017,"CT",30.9,1072,"Connecticut",9,4.4,63.4,0,0,1,0,0,0,0,0
2018,"CT",30.7,1069,"Connecticut",9,3.9,63.6,0,0,0,1,0,0,0,0
2019,"CT",34.7,1214,"Connecticut",9,3.6,63.9,0,0,0,0,1,0,0,0
2020,"CT",39.1,1371,"Connecticut",9,8,59.3,0,0,0,0,0,1,0,0
2021,"CT",42.3,1552,"Connecticut",9,6.4,59,0,0,0,0,0,0,1,0
2022,"CT",40.3,1482,"Connecticut",9,4.1,62.5,0,0,0,0,0,0,0,1
2014,"DE",20.9,189,"Delaware",10,5.6,58,0,0,0,0,0,0,0,0
2015,"DE",22,198,"Delaware",10,4.8,59.1,1,0,0,0,0,0,0,0
2016,"DE",30.8,282,"Delaware",10,4.5,59.3,0,1,0,0,0,0,0,0
2017,"DE",37,338,"Delaware",10,4.5,59.4,0,0,1,0,0,0,0,0
2018,"DE",43.8,401,"Delaware",10,3.7,59.8,0,0,0,1,0,0,0,0
2019,"DE",48,435,"Delaware",10,3.6,59.9,0,0,0,0,1,0,0,0
2020,"DE",47.3,444,"Delaware",10,7.5,56.8,0,0,0,0,0,1,0,0
2021,"DE",54,513,"Delaware",10,5.5,57.9,0,0,0,0,0,0,1,0
2022,"DE",55.3,549,"Delaware",10,4.3,58.1,0,0,0,0,0,0,0,1
2014,"FL",13.2,2634,"Florida",12,6.4,56,0,0,0,0,0,0,0,0
2015,"FL",16.2,3228,"Florida",12,5.5,56,1,0,0,0,0,0,0,0
2016,"FL",23.7,4728,"Florida",12,4.9,56.3,0,1,0,0,0,0,0,0
2017,"FL",25.1,5088,"Florida",12,4.3,56.8,0,0,1,0,0,0,0,0
2018,"FL",22.8,4698,"Florida",12,3.6,57.1,0,0,0,1,0,0,0,0
2019,"FL",25.5,5268,"Florida",12,3.3,57.4,0,0,0,0,1,0,0,0
2020,"FL",35,7231,"Florida",12,8.1,52.9,0,0,0,0,0,1,0,0
2021,"FL",37.5,7827,"Florida",12,4.7,55.5,0,0,0,0,0,0,1,0
2022,"FL",35.2,7551,"Florida",12,3,57.3,0,0,0,0,0,0,0,1
2014,"GA",11.9,1206,"Georgia",13,7.1,57.6,0,0,0,0,0,0,0,0
2015,"GA",12.7,1302,"Georgia",13,6.1,57.3,1,0,0,0,0,0,0,0
2016,"GA",13.3,1394,"Georgia",13,5.4,59,0,1,0,0,0,0,0,0
2017,"GA",14.7,1537,"Georgia",13,4.8,60.8,0,0,1,0,0,0,0,0
2018,"GA",13.2,1404,"Georgia",13,4,60.8,0,0,0,1,0,0,0,0
2019,"GA",13.1,1408,"Georgia",13,3.6,60.7,0,0,0,0,1,0,0,0
2020,"GA",18,1916,"Georgia",13,6.5,57.4,0,0,0,0,0,1,0,0
2021,"GA",23.5,2500,"Georgia",13,3.9,59.2,0,0,0,0,0,0,1,0
2022,"GA",24.9,2687,"Georgia",13,3.1,59.6,0,0,0,0,0,0,0,1
2014,"HI",10.9,157,"Hawaii",15,4.2,58.9,0,0,0,0,0,0,0,0
2015,"HI",11.3,169,"Hawaii",15,3.4,59.6,1,0,0,0,0,0,0,0
2016,"HI",12.8,191,"Hawaii",15,2.9,60.3,0,1,0,0,0,0,0,0
2017,"HI",13.8,203,"Hawaii",15,2.2,60.7,0,0,1,0,0,0,0,0
2018,"HI",14.3,213,"Hawaii",15,2.4,60.1,0,0,0,1,0,0,0,0
2019,"HI",15.9,242,"Hawaii",15,2.5,59.5,0,0,0,0,1,0,0,0
2020,"HI",18.3,274,"Hawaii",15,11.7,52.3,0,0,0,0,0,1,0,0
2021,"HI",17.3,269,"Hawaii",15,6,56,0,0,0,0,0,0,1,0
2022,"HI",18.6,284,"Hawaii",15,3.3,57.9,0,0,0,0,0,0,0,1
2014,"ID",13.7,212,"Idaho",16,4.4,60.6,0,0,0,0,0,0,0,0
2015,"ID",14.2,218,"Idaho",16,3.9,61.3,1,0,0,0,0,0,0,0
2016,"ID",15.2,243,"Idaho",16,3.7,61.5,0,1,0,0,0,0,0,0
2017,"ID",14.4,236,"Idaho",16,3.2,61.8,0,0,1,0,0,0,0,0
2018,"ID",14.6,250,"Idaho",16,2.9,62.2,0,0,0,1,0,0,0,0
2019,"ID",15.1,265,"Idaho",16,2.9,62.5,0,0,0,0,1,0,0,0
2020,"ID",15.9,287,"Idaho",16,5.5,59.8,0,0,0,0,0,1,0,0
2021,"ID",19,354,"Idaho",16,3.6,60.6,0,0,0,0,0,0,1,0
2022,"ID",20.7,385,"Idaho",16,2.8,61.2,0,0,0,0,0,0,0,1
2014,"IL",13.1,1705,"Illinois",17,7.2,60.2,0,0,0,0,0,0,0,0
2015,"IL",14.1,1835,"Illinois",17,6,60.9,1,0,0,0,0,0,0,0
2016,"IL",18.9,2411,"Illinois",17,5.9,61.4,0,1,0,0,0,0,0,0
2017,"IL",21.6,2778,"Illinois",17,4.9,61.5,0,0,1,0,0,0,0,0
2018,"IL",21.3,2722,"Illinois",17,4.4,61.9,0,0,0,1,0,0,0,0
2019,"IL",21.9,2790,"Illinois",17,4,62.1,0,0,0,0,1,0,0,0
2020,"IL",28.1,3549,"Illinois",17,9.3,56.8,0,0,0,0,0,1,0,0
2021,"IL",29,3762,"Illinois",17,6.1,59.1,0,0,0,0,0,0,1,0
2022,"IL",30,3849,"Illinois",17,4.6,61.2,0,0,0,0,0,0,0,1
2014,"IN",18.2,1172,"Indiana",18,5.9,59.6,0,0,0,0,0,0,0,0
2015,"IN",19.5,1245,"Indiana",18,4.8,60.8,1,0,0,0,0,0,0,0
2016,"IN",24,1526,"Indiana",18,4.4,61.9,0,1,0,0,0,0,0,0
2017,"IN",29.4,1852,"Indiana",18,3.5,62,0,0,1,0,0,0,0,0
2018,"IN",25.6,1629,"Indiana",18,3.4,62.7,0,0,0,1,0,0,0,0
2019,"IN",26.6,1699,"Indiana",18,3.3,62.5,0,0,0,0,1,0,0,0
2020,"IN",36.7,2321,"Indiana",18,7.3,58.4,0,0,0,0,0,1,0,0
2021,"IN",43,2811,"Indiana",18,3.9,60.3,0,0,0,0,0,0,1,0
2022,"IN",41,2682,"Indiana",18,3.1,61.3,0,0,0,0,0,0,0,1
2014,"IA",8.8,264,"Iowa",19,4.2,67.2,0,0,0,0,0,0,0,0
2015,"IA",10.3,309,"Iowa",19,3.7,67.3,1,0,0,0,0,0,0,0
2016,"IA",10.6,314,"Iowa",19,3.6,67.2,0,1,0,0,0,0,0,0
2017,"IA",11.5,341,"Iowa",19,3.1,66.8,0,0,1,0,0,0,0,0
2018,"IA",9.6,287,"Iowa",19,2.6,67.4,0,0,0,1,0,0,0,0
2019,"IA",11.5,352,"Iowa",19,2.7,68.2,0,0,0,0,1,0,0,0
2020,"IA",14.3,432,"Iowa",19,5.2,63.5,0,0,0,0,0,1,0,0
2021,"IA",15.3,475,"Iowa",19,3.8,64.5,0,0,0,0,0,0,1,0
2022,"IA",15.3,469,"Iowa",19,2.8,66.1,0,0,0,0,0,0,0,1
2014,"KS",11.7,332,"Kansas",20,4.5,65,0,0,0,0,0,0,0,0
2015,"KS",11.8,329,"Kansas",20,4.2,64.9,1,0,0,0,0,0,0,0
2016,"KS",11.1,313,"Kansas",20,4,64.7,0,1,0,0,0,0,0,0
2017,"KS",11.8,333,"Kansas",20,3.6,64.4,0,0,1,0,0,0,0,0
2018,"KS",12.4,345,"Kansas",20,3.4,64.6,0,0,0,1,0,0,0,0
2019,"KS",14.3,403,"Kansas",20,3.2,65,0,0,0,0,1,0,0,0
2020,"KS",17.4,490,"Kansas",20,5.8,63,0,0,0,0,0,1,0,0
2021,"KS",24.3,680,"Kansas",20,3.3,64.3,0,0,0,0,0,0,1,0
2022,"KS",26.5,754,"Kansas",20,2.6,64.7,0,0,0,0,0,0,0,1
2014,"KY",24.7,1077,"Kentucky",21,6.4,54.8,0,0,0,0,0,0,0,0
2015,"KY",29.9,1273,"Kentucky",21,5.2,54.5,1,0,0,0,0,0,0,0
2016,"KY",33.5,1419,"Kentucky",21,5,55.3,0,1,0,0,0,0,0,0
2017,"KY",37.2,1566,"Kentucky",21,4.8,56,0,0,1,0,0,0,0,0
2018,"KY",30.9,1315,"Kentucky",21,4.2,56.1,0,0,0,1,0,0,0,0
2019,"KY",32.5,1380,"Kentucky",21,4.1,56.3,0,0,0,0,1,0,0,0
2020,"KY",49.2,2083,"Kentucky",21,6.5,53.3,0,0,0,0,0,1,0,0
2021,"KY",55.6,2381,"Kentucky",21,4.5,54.6,0,0,0,0,0,0,1,0
2022,"KY",53.2,2271,"Kentucky",21,4,55.2,0,0,0,0,0,0,0,1
2014,"LA",16.9,777,"Louisiana",22,6.3,56.6,0,0,0,0,0,0,0,0
2015,"LA",19,861,"Louisiana",22,6.3,56.5,1,0,0,0,0,0,0,0
2016,"LA",21.8,996,"Louisiana",22,6.1,55.7,0,1,0,0,0,0,0,0
2017,"LA",24.5,1108,"Louisiana",22,5.1,55.8,0,0,1,0,0,0,0,0
2018,"LA",25.4,1140,"Louisiana",22,4.8,56,0,0,0,1,0,0,0,0
2019,"LA",28.3,1267,"Louisiana",22,4.6,55.9,0,0,0,0,1,0,0,0
2020,"LA",42.7,1896,"Louisiana",22,8.6,52.4,0,0,0,0,0,1,0,0
2021,"LA",55.9,2463,"Louisiana",22,5.6,54.5,0,0,0,0,0,0,1,0
2022,"LA",54.5,2376,"Louisiana",22,3.7,56.2,0,0,0,0,0,0,0,1
2014,"ME",16.8,216,"Maine",23,5.6,60.5,0,0,0,0,0,0,0,0
2015,"ME",21.2,269,"Maine",23,4.4,60.3,1,0,0,0,0,0,0,0
2016,"ME",28.7,353,"Maine",23,3.8,61,0,1,0,0,0,0,0,0
2017,"ME",34.4,424,"Maine",23,3.4,61.5,0,0,1,0,0,0,0,0
2018,"ME",27.9,345,"Maine",23,3.2,61,0,0,0,1,0,0,0,0
2019,"ME",29.9,371,"Maine",23,2.9,60.5,0,0,0,0,1,0,0,0
2020,"ME",39.7,496,"Maine",23,5.1,56.6,0,0,0,0,0,1,0,0
2021,"ME",47.1,611,"Maine",23,4.7,57.5,0,0,0,0,0,0,1,0
2022,"ME",54.3,707,"Maine",23,2.8,57.4,0,0,0,0,0,0,0,1
2014,"MD",17.4,1070,"Maryland",24,5.7,63.1,0,0,0,0,0,0,0,0
2015,"MD",20.9,1285,"Maryland",24,5,63.5,1,0,0,0,0,0,0,0
2016,"MD",33.2,2044,"Maryland",24,4.3,64.1,0,1,0,0,0,0,0,0
2017,"MD",36.3,2247,"Maryland",24,4,64.9,0,0,1,0,0,0,0,0
2018,"MD",37.2,2324,"Maryland",24,3.8,65.2,0,0,0,1,0,0,0,0
2019,"MD",38.2,2369,"Maryland",24,3.4,66.6,0,0,0,0,1,0,0,0
2020,"MD",44.6,2771,"Maryland",24,6.4,62.2,0,0,0,0,0,1,0,0
2021,"MD",42.8,2737,"Maryland",24,5.2,61.4,0,0,0,0,0,0,1,0
2022,"MD",40.3,2573,"Maryland",24,3,62.8,0,0,0,0,0,0,0,1
2014,"MA",19,1289,"Massachusetts",25,5.7,61.6,0,0,0,0,0,0,0,0
2015,"MA",25.7,1724,"Massachusetts",25,4.8,62.1,1,0,0,0,0,0,0,0
2016,"MA",33,2227,"Massachusetts",25,4,62.6,0,1,0,0,0,0,0,0
2017,"MA",31.8,2168,"Massachusetts",25,3.8,63.4,0,0,1,0,0,0,0,0
2018,"MA",32.8,2241,"Massachusetts",25,3.5,64.7,0,0,0,1,0,0,0,0
2019,"MA",32.1,2210,"Massachusetts",25,3,65.2,0,0,0,0,1,0,0,0
2020,"MA",33.9,2302,"Massachusetts",25,9.3,59.3,0,0,0,0,0,1,0,0
2021,"MA",36.8,2585,"Massachusetts",25,5.4,61.6,0,0,0,0,0,0,1,0
2022,"MA",37.4,2642,"Massachusetts",25,3.7,62.8,0,0,0,0,0,0,0,1
2014,"MI",18,1762,"Michigan",26,7.2,56.2,0,0,0,0,0,0,0,0
2015,"MI",20.4,1980,"Michigan",26,5.4,57.1,1,0,0,0,0,0,0,0
2016,"MI",24.4,2347,"Michigan",26,5,58.2,0,1,0,0,0,0,0,0
2017,"MI",27.8,2694,"Michigan",26,4.6,58.6,0,0,1,0,0,0,0,0
2018,"MI",26.6,2591,"Michigan",26,4.2,59,0,0,0,1,0,0,0,0
2019,"MI",24.4,2385,"Michigan",26,4.1,59.3,0,0,0,0,1,0,0,0
2020,"MI",28.6,2759,"Michigan",26,10,54.3,0,0,0,0,0,1,0,0
2021,"MI",31.5,3089,"Michigan",26,5.7,56,0,0,0,0,0,0,1,0
2022,"MI",30.7,2997,"Michigan",26,4.1,57.9,0,0,0,0,0,0,0,1
2014,"MN",9.6,517,"Minnesota",27,4.3,67.1,0,0,0,0,0,0,0,0
2015,"MN",10.6,581,"Minnesota",27,3.8,67.5,1,0,0,0,0,0,0,0
2016,"MN",12.5,672,"Minnesota",27,3.9,67.3,0,1,0,0,0,0,0,0
2017,"MN",13.3,733,"Minnesota",27,3.5,67.7,0,0,1,0,0,0,0,0
2018,"MN",11.5,636,"Minnesota",27,3,67.5,0,0,0,1,0,0,0,0
2019,"MN",14.2,792,"Minnesota",27,3.3,67.6,0,0,0,0,1,0,0,0
2020,"MN",19,1050,"Minnesota",27,6.3,65.4,0,0,0,0,0,1,0,0
2021,"MN",24.5,1356,"Minnesota",27,3.7,65.3,0,0,0,0,0,0,1,0
2022,"MN",24.8,1384,"Minnesota",27,2.6,66.4,0,0,0,0,0,0,0,1
2014,"MS",11.6,336,"Mississippi",28,7.6,50.6,0,0,0,0,0,0,0,0
2015,"MS",12.3,351,"Mississippi",28,6.5,51.7,1,0,0,0,0,0,0,0
2016,"MS",12.1,352,"Mississippi",28,5.9,52.3,0,1,0,0,0,0,0,0
2017,"MS",12.2,354,"Mississippi",28,5.2,52.8,0,0,1,0,0,0,0,0
2018,"MS",10.8,310,"Mississippi",28,4.9,52.9,0,0,0,1,0,0,0,0
2019,"MS",13.6,394,"Mississippi",28,5.5,53,0,0,0,0,1,0,0,0
2020,"MS",21.1,586,"Mississippi",28,8,50.3,0,0,0,0,0,1,0,0
2021,"MS",28.4,787,"Mississippi",28,5.4,52.1,0,0,0,0,0,0,1,0
2022,"MS",27.6,758,"Mississippi",28,3.8,52.8,0,0,0,0,0,0,0,1
2014,"MO",18.2,1067,"Missouri",29,6.2,60.4,0,0,0,0,0,0,0,0
2015,"MO",17.9,1066,"Missouri",29,5.1,61.3,1,0,0,0,0,0,0,0
2016,"MO",23.6,1371,"Missouri",29,4.5,61.7,0,1,0,0,0,0,0,0
2017,"MO",23.4,1367,"Missouri",29,3.7,61.6,0,0,1,0,0,0,0,0
2018,"MO",27.5,1610,"Missouri",29,3.2,61.6,0,0,0,1,0,0,0,0
2019,"MO",26.9,1583,"Missouri",29,3.2,61.8,0,0,0,0,1,0,0,0
2020,"MO",32.1,1875,"Missouri",29,6.2,58.8,0,0,0,0,0,1,0,0
2021,"MO",36.5,2155,"Missouri",29,4.2,59.9,0,0,0,0,0,0,1,0
2022,"MO",36.9,2192,"Missouri",29,2.6,60.8,0,0,0,0,0,0,0,1
2014,"MT",12.4,125,"Montana",30,4.7,60.6,0,0,0,0,0,0,0,0
2015,"MT",13.8,138,"Montana",30,4.3,60.8,1,0,0,0,0,0,0,0
